year,text
2499,จงบำเพ็ญตนให้เป็นประโยชน์ต่อผู้อื่นและส่วนรวม
2502,ขอให้เด็กสมัยปฏิวัติของข้าพเจ้า จงเป็นเด็กที่รักความก้าวหน้า
2503,ขอให้เด็กสมัยปฏิวัติของข้าพเจ้า จงเป็นเด็กที่รักความสะอาด
2504,ขอให้เด็กสมัยปฏิวัติของข้าพเจ้า จงเป็นเด็กที่อยู่ในระเบียบวินัย
2505,ขอให้เด็กสมัยปฏิวัติของข้าพเจ้า จงเป็นเด็กที่ประหยัด
2506,ขอให้เด็กสมัยปฏิวัติของข้าพเจ้า จงเป็นเด็กที่มีความขยันหมั่นเพียรมากที่สุด
2508,เด็กจะเจริญต้องรักเรียนเพียรทำดี
2509,เด็กที่ดีต้องมีสัมมาคารวะ มานะ บากบั่น สมานสามัคคี
2510,อนาคตของชาติจะสุกใส หากเด็กไทยแข็งแรง เรียนดี มีความประพฤติเรียบร้อย
2511,ความเจริญและความมั่นคงของชาติไทยในอนาคต ขึ้นอยู่กับเด็กที่มีวินัย มีความเฉลียวฉลาด รักชาติยิ่ง
2512,รู้เรียน รู้เล่น รู้สามัคคี เป็นความดีที่เด็กพึงจำ
2513,เด็กประพฤติดีและศึกษาดี ทำให้มีอนาคตแจ่มใส
2514,ยามเด็กจงหมั่นเรียนเพียรกระทำดี เติบใหญ่จะได้มีความสุขความเจริญ
2515,เยาวชนฝึกตนดี มีความสามารถ
2516,เด็กดีเป็นศรีแก่ชาติ เด็กฉลาดชาติเจริญ
2517,สามัคคีคือพลัง
2518,เด็กดีคือทายาทของชาติไทย ต้องร่วมใจร่วมพลังสร้างความสามัคคี
2519,เด็กที่ต้องการเห็นอนาคตของชาติรุ่งเรือง จะต้องทำตัวให้ดีมีวินัยเสียแต่บัดนี้
2520,รักชาติ ศาสน์ กษัตริย์ เป็นคุณสมบัติของเยาวชนไทย
2521,เด็กดีเป็นศรีแก่ชาติ เด็กฉลาดชาติมั่นคง
2522,เด็กไทยคือหัวใจของชาติ
2523,อดทน ขยัน ประหยัด เป็นคุณสมบัติของเด็กไทย
2524,เด็กไทยมีวินัย ใจสัตย์ซื่อ รู้ประหยัด เคร่งครัดคุณธรรม
2525,ขยันศึกษา ใฝ่หาความรู้ เชิดชูชาติ ศาสน์ กษัตริย์ เป็นคุณสมบัติของเด็กไทย
2526,รู้หน้าที่ ขยัน ซื่อสัตย์ ประหยัด มีวินัย คุณธรรม
2527,รักวัฒนธรรมไทย
2528,สามัคคี นิยมไทย มีวินัย ใฝ่คุณธรรม
2529,นิยมไทย มีวินัย ใช้ประหยัด ใจสัตย์ซื่อ ถือคุณธรรม
2532,รักชาติ ศาสน์ กษัตริย์ ใจสัตย์ซื่อ ถือคุณธรรม
2534,รู้หน้าที่ มีวินัย ใฝ่คุณธรรม นำชาติพัฒนา
2535,สามัคคี มีวินัย ใฝ่ศึกษา จรรยางาม
2536,ยึดมั่นประชาธิปไตย ร่วมใจพัฒนา รักษาสิ่งแวดล้อม
2538,สืบสานวัฒนธรรมไทย ร่วมใจพัฒนา รักษาสิ่งแวดล้อม
2539,มุ่งหาความรู้ เชิดชูความเป็นไทย หลีกไกลยาเสพติด
2540,รู้คุณค่าวัฒนธรรมไทย ตั้งใจใฝ่ศึกษา ไม่พึ่งพายาเสพติด
2541,ขยัน ประหยัด ซื่อสัตย์ มีวินัย
2543,มีวินัย ใฝ่เรียนรู้ คู่คุณธรรม นำประชาธิปไตย
2545,เรียนให้สนุก เล่นให้มีความรู้ สู่อนาคตที่สดใส
2546,เรียนรู้ตลอดชีวิต คิดอย่างสร้างสรรค์ ก้าวทันเทคโนโลยี
2547,รักชาติ รักพ่อแม่ รักเรียน รักสิ่งดี ๆ อนาคตดีแน่นอน
2548,เด็กรุ่นใหม่ ต้องขยันอ่าน ขยันเรียน กล้าคิด กล้าพูด
2549,อยากฉลาด ต้องขยันอ่าน ขยันคิด
2550,มีคุณธรรมนำใจ ใช้ชีวิตพอเพียง หลีกเลี่ยงอบายมุข
2551,สามัคคี มีวินัย ใฝ่เรียนรู้ เชิดชูคุณธรรม
2552,ฉลาดคิด จิตบริสุทธิ์ จุดประกายฝัน ผูกพันรักสามัคคี
2553,คิดสร้างสรรค์ ขยันใฝ่รู้ เชิดชูคุณธรรม
2554,รอบคอบ รู้คิด มีจิตสาธารณะ
2555,สามัคคี มีความรู้ คู่ปัญญา คงรักษาความเป็นไทย ใส่ใจเทคโนโลยี
2556,รักษาวินัย ใฝ่เรียนรู้ เพิ่มพูนปัญญา นำพาไทยสู่อาเซียน
2557,กตัญญู รู้หน้าที่ เป็นเด็กดี มีวินัย สร้างไทยให้มั่นคง
2558,ความรู้ คู่คุณธรรม นำสู่อนาคต
2559,เด็กดี หมั่นเพียร เรียนรู้ สู่อนาคต
2560,เด็กไทย ใส่ใจศึกษา พาชาติมั่นคง
2561,รู้คิด รู้เท่าทัน สร้างสรรค์เทคโนโลยี
2562,เด็ก เยาวชน จิตอาสา ร่วมพัฒนาชาติ
2563,เด็กไทยยุคใหม่ รู้รักสามัคคี รู้หน้าที่พลเมืองไทย
2564,เด็กไทยวิถีใหม่ รวมไทยสร้างชาติ ด้วยภักดีมีคุณธรรม
2565,รู้คิด รอบคอบ รับผิดชอบต่อสังคม
